,data,companyia,producte,paquet,garantia,cobertura
0,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Responsabilidad civil obligatoria,Incluido
1,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Responsabilidad civil complementaria 50MM,Incluido
2,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Responsabilidad civil del conductor/ tomador como peatón y ciclista,Incluido
3,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Responsabilidad civil por incendio del vehículo asegurado,Incluido
4,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Defensa y reclamación,Incluido
5,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Asistencia en viaje,Incluido
6,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Accidentes corporales del conductor,Incluido
7,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Orientación médica telefónica,Incluido
8,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Rotura de lunas,Incluido
9,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Garantía de incendio,No Incluido
10,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Cobertura de robo y hurto,No Incluido
11,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Daños causados por animales cinegéticos,Incluido
12,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Daños causados por fenómenos atmosféricos,No Incluido
13,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Garantía de daños propios,No Incluido
14,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Lunas tintadas,Opcional
15,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Defensa y reclamación ampliadas,Opcional
16,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Asistencia en viaje ampliada,Opcional
17,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Accidentes corporales del conductor ampliado a ocupantes,Opcional
18,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Cobertura de incendio ampliada,No Incluido
19,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Cobertura de robo ampliada,No Incluido
20,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Cobertura de daños propios ampliada,No Incluido
21,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Vehículo de sustitución,No Incluido
22,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Indemnización por retirada de carnet,Opcional
23,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros básico,Gestoria del automóvil,No Incluido
24,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Responsabilidad civil obligatoria,Incluido
25,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Responsabilidad civil complementaria 50MM,Incluido
26,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Responsabilidad civil del conductor/ tomador como peatón y ciclista,Incluido
27,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Responsabilidad civil por incendio del vehículo asegurado,Incluido
28,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Defensa y reclamación,Incluido
29,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Asistencia en viaje,Incluido
30,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Accidentes corporales del conductor,Incluido
